"","metric","FT-llm_llama-2-7b-4bits"
"1","ANOnto","0.8333333333333334"
"2","AROnto","1.1666666666666667"
"3","CBOOnto","0.9166666666666666"
"4","CBOnto2","0.9166666666666666"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.9166666666666666"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","11.0"
"11","NOMOnto","3.5"
"12","POnto","0.0"
"13","PROnto","0.7924528301886793"
"14","RFCOnto","4.416666666666667"
"15","RROnto","0.20754716981132076"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
